wk_id,wk,week_weight
0,0,96
1,1,168
2,2,168
3,3,168
4,4,168
5,5,168
6,6,168
7,7,168
8,8,168
9,9,168
10,10,168
11,11,168
12,12,168
13,13,168
14,14,168
15,15,168
16,16,168
17,17,168
18,18,168
19,19,168
20,20,168
21,21,168
22,22,168
23,23,168
24,24,168
25,25,168
26,26,168
27,27,168
28,28,168
29,29,168
30,30,168
31,31,168
32,32,168
33,33,168
34,34,168
35,35,168
36,36,168
37,37,168
38,38,168
39,39,168
40,40,168
41,41,168
42,42,168
43,43,168
44,44,168
45,45,168
46,46,168
47,47,168
48,48,168
49,49,168
50,50,168
51,51,168
52,52,96
