fl_id,nd_id,ca_id,has_profile,is_chp,erg_inp,vc_fl,erg_chp
0,2,0,0,1,107964248.539,8.45150924786796,8900082.36469978
1,2,0,0,1,143496528.328,1.44,4740747.3902421
13,2,0,0,1,6208011.0,23.3059029696229,2404042.34841193
2,2,0,0,1,59924643.072,29.5,52679884.5043311
3,2,0,0,0,86738063.895,1.881,0.0
7,2,0,0,0,11536853.0,0.5,3344754.57170356
15,2,0,0,0,44573000.0,1.0,25085659.2877767
18,2,0,0,0,0.0,200.0,0.0
0,3,0,0,1,8600000.0,10.8351179180115,827638.941201319
13,3,0,0,1,3800000.0,32.7896200185357,619198.954932906
2,3,0,0,1,21900000.0,42.2,6442574.55892604
3,3,0,0,0,416795000.0,1.881,0.0
7,3,0,0,0,4244000.0,0.5,1450510.79223951
15,3,0,0,0,7964700.0,1.0,2284996.75270023
18,3,0,0,0,0.0,200.0,0.0
0,0,0,0,1,2733327.32219013,10.8351179180115,527062.4724058
1,0,0,0,1,0.0,1.44,0.0
13,0,0,0,1,832452.631038575,24.1080393000574,574399.183603722
2,0,0,0,1,9547025.75804254,38.0,4924840.9102881
3,0,0,0,0,0.0,1.881,0.0
7,0,0,0,0,1069365.737,0.5,394006.341893199
15,0,0,0,0,4120629.61611272,1.0,2142873.33265168
18,0,0,0,0,0.0,200.0,0.0
0,4,0,0,1,39315500.0,12.1371685288369,122600.0
1,4,0,0,1,0.0,1.44,0.0
13,4,0,0,1,12721100.0,38.3946500286862,2270800.0
2,4,0,0,1,110230100.0,41.8222222222222,72899700.0
3,4,0,0,0,0.0,1.881,0.0
7,4,0,0,0,2439800.0,0.5,12723600.0
15,4,0,0,0,18175800.0,1.0,4679300.0
18,4,0,0,0,0.0,200.0,0.0
13,1,0,0,1,32397.4438372378,100.0,22800.0
2,1,0,0,1,597103.015537059,63.29,671500.0
3,1,0,0,0,22095000.0,1.881,0.0
7,1,0,0,0,2184173.5,0.5,411700.0
15,1,0,0,0,213607.48,1.0,498400.0
18,1,0,0,0,0.0,200.0,0.0
4,2,0,0,0,8284000.0,0.0,0.0
5,2,0,0,0,72340000.0,0.0,0.0
8,2,0,0,0,38726000.0,0.0,0.0
11,2,0,0,0,5921000.0,0.0,0.0
12,2,0,0,0,987626.253706065,0.0,0.0
10,2,0,0,0,17989532.6262939,0.0,0.0
5,4,0,0,0,14843900.0,0.0,0.0
6,4,0,0,0,6185000.0,0.0,0.0
8,4,0,0,0,22942200.0,0.0,0.0
11,4,0,0,0,1432100.0,0.0,0.0
12,4,0,0,0,24618600.0,0.0,0.0
10,4,0,0,0,20918800.0,0.0,0.0
4,1,0,0,0,0.0,0.0,0.0
5,1,0,0,0,110030.0,0.0,0.0
8,1,0,0,0,1118550.0,0.0,0.0
11,1,0,0,0,1722000.0,0.0,0.0
12,1,0,0,0,21169000.0,0.0,0.0
10,1,0,0,0,16595000.0,0.0,0.0
5,0,0,0,0,4840320.68493782,0.0,0.0
8,0,0,0,0,937098.0,0.0,0.0
11,0,0,0,0,3847637.85807439,0.0,0.0
12,0,0,0,0,9350141.44592561,0.0,0.0
10,0,0,0,0,26717190.678,0.0,0.0
4,3,0,0,0,0.0,0.0,0.0
5,3,0,0,0,21249000.0,0.0,0.0
8,3,0,0,0,7262000.0,0.0,0.0
11,3,0,0,0,4896000.0,0.0,0.0
12,3,0,0,0,16337343.5789703,0.0,0.0
10,3,0,0,0,42336656.4210297,0.0,0.0
