nd_id,nd_2_id,ca_id,mt_id,eff,cap_trm_leg
0,2,0,0,0.99,4081.0
2,0,0,0,0.99,4081.0
0,2,0,1,0.99,4081.0
2,0,0,1,0.99,4081.0
0,2,0,2,0.99,4081.0
2,0,0,2,0.99,4081.0
0,2,0,3,0.99,4081.0
2,0,0,3,0.99,4081.0
0,2,0,4,0.99,4081.0
2,0,0,4,0.99,4081.0
0,2,0,5,0.99,4081.0
2,0,0,5,0.99,4081.0
0,2,0,6,0.99,4081.0
2,0,0,6,0.99,4081.0
0,2,0,7,0.99,4081.0
2,0,0,7,0.99,4081.0
0,2,0,8,0.99,4081.0
2,0,0,8,0.99,4081.0
0,2,0,9,0.99,4081.0
2,0,0,9,0.99,4081.0
0,2,0,10,0.99,4081.0
2,0,0,10,0.99,4081.0
0,2,0,11,0.99,4081.0
2,0,0,11,0.99,4081.0
4,0,0,0,0.99,100.0
0,4,0,0,0.99,310.0
4,0,0,1,0.99,100.0
0,4,0,1,0.99,310.0
4,0,0,2,0.99,100.0
0,4,0,2,0.99,310.0
4,0,0,3,0.99,100.0
0,4,0,3,0.99,270.0
0,4,0,4,0.99,270.0
4,0,0,4,0.99,100.0
4,0,0,5,0.99,100.0
0,4,0,5,0.99,270.0
0,4,0,6,0.99,155.0
4,0,0,6,0.99,80.0
4,0,0,7,0.99,80.0
0,4,0,7,0.99,155.0
4,0,0,8,0.99,80.0
0,4,0,8,0.99,155.0
4,0,0,9,0.99,100.0
0,4,0,9,0.99,302.0
0,4,0,10,0.99,302.0
4,0,0,10,0.99,100.0
0,4,0,11,0.99,302.0
4,0,0,11,0.99,100.0
2,3,0,0,0.99,2550.0
2,3,0,1,0.99,2550.0
2,3,0,2,0.99,2550.0
2,3,0,3,0.99,1900.0
2,3,0,4,0.99,1900.0
2,3,0,5,0.99,1900.0
2,3,0,6,0.99,1200.0
2,3,0,7,0.99,1200.0
2,3,0,8,0.99,1200.0
2,3,0,9,0.99,1200.0
2,3,0,10,0.99,1200.0
2,3,0,11,0.99,1200.0
3,4,0,0,0.99,3150.0
3,4,0,1,0.99,3150.0
3,4,0,2,0.99,3150.0
3,4,0,3,0.99,2700.0
3,4,0,4,0.99,2700.0
3,4,0,5,0.99,2700.0
3,4,0,6,0.99,2400.0
3,4,0,7,0.99,2400.0
3,4,0,8,0.99,2400.0
3,4,0,9,0.99,3150.0
3,4,0,10,0.99,3150.0
3,4,0,11,0.99,3150.0
3,2,0,0,0.99,2500.0
3,2,0,1,0.99,2500.0
3,2,0,2,0.99,2500.0
3,2,0,3,0.99,2500.0
3,2,0,4,0.99,2500.0
3,2,0,5,0.99,2500.0
3,2,0,6,0.99,1400.0
3,2,0,7,0.99,1400.0
3,2,0,8,0.99,1400.0
3,2,0,9,0.99,3000.0
3,2,0,10,0.99,3000.0
3,2,0,11,0.99,3000.0
4,3,0,0,0.99,995.0
4,3,0,1,0.99,995.0
4,3,0,2,0.99,995.0
4,3,0,3,0.99,995.0
4,3,0,4,0.99,995.0
4,3,0,5,0.99,995.0
4,3,0,6,0.99,870.0
4,3,0,7,0.99,870.0
4,3,0,8,0.99,870.0
4,3,0,9,0.99,995.0
4,3,0,10,0.99,995.0
4,3,0,11,0.99,995.0
1,0,0,0,0.99,1200.0
1,2,0,0,0.99,4000.0
1,3,0,0,0.99,1100.0
1,4,0,0,0.99,3988.0
0,1,0,0,0.99,769.0
2,1,0,0,0.99,1302.0
3,1,0,0,0.99,3200.0
4,1,0,0,0.99,1810.0
1,0,0,1,0.99,1200.0
1,2,0,1,0.99,4000.0
1,3,0,1,0.99,1100.0
1,4,0,1,0.99,3988.0
0,1,0,1,0.99,769.0
2,1,0,1,0.99,1302.0
3,1,0,1,0.99,3200.0
4,1,0,1,0.99,1810.0
1,0,0,2,0.99,1200.0
1,2,0,2,0.99,4000.0
1,3,0,2,0.99,1100.0
1,4,0,2,0.99,3988.0
0,1,0,2,0.99,769.0
2,1,0,2,0.99,1302.0
3,1,0,2,0.99,3200.0
4,1,0,2,0.99,1810.0
1,0,0,3,0.99,1200.0
1,2,0,3,0.99,4000.0
1,3,0,3,0.99,1200.0
1,4,0,3,0.99,2744.0
0,1,0,3,0.99,804.0
2,1,0,3,0.99,1562.0
3,1,0,3,0.99,3000.0
4,1,0,3,0.99,1660.0
1,0,0,4,0.99,1200.0
1,2,0,4,0.99,4000.0
1,3,0,4,0.99,1200.0
1,4,0,4,0.99,2744.0
0,1,0,4,0.99,804.0
2,1,0,4,0.99,1562.0
3,1,0,4,0.99,3000.0
4,1,0,4,0.99,1660.0
1,0,0,5,0.99,1200.0
1,2,0,5,0.99,4000.0
1,3,0,5,0.99,1200.0
1,4,0,5,0.99,2744.0
0,1,0,5,0.99,804.0
2,1,0,5,0.99,1562.0
3,1,0,5,0.99,3000.0
4,1,0,5,0.99,1660.0
1,0,0,6,0.99,1200.0
1,2,0,6,0.99,4000.0
1,3,0,6,0.99,1100.0
1,4,0,6,0.99,2427.0
0,1,0,6,0.99,850.0
2,1,0,6,0.99,1750.0
3,1,0,6,0.99,3000.0
4,1,0,6,0.99,1440.0
1,0,0,7,0.99,1200.0
1,2,0,7,0.99,4000.0
1,3,0,7,0.99,1100.0
1,4,0,7,0.99,2427.0
0,1,0,7,0.99,850.0
2,1,0,7,0.99,1750.0
3,1,0,7,0.99,3000.0
4,1,0,7,0.99,1440.0
1,0,0,8,0.99,1200.0
1,2,0,8,0.99,4000.0
1,3,0,8,0.99,1100.0
1,4,0,8,0.99,2427.0
0,1,0,8,0.99,850.0
2,1,0,8,0.99,1750.0
3,1,0,8,0.99,3000.0
4,1,0,8,0.99,1440.0
1,0,0,9,0.99,1200.0
1,2,0,9,0.99,4000.0
1,3,0,9,0.99,1100.0
1,4,0,9,0.99,3399.0
0,1,0,9,0.99,800.0
2,1,0,9,0.99,1399.0
3,1,0,9,0.99,3200.0
4,1,0,9,0.99,1810.0
1,0,0,10,0.99,1200.0
1,2,0,10,0.99,4000.0
1,3,0,10,0.99,1100.0
1,4,0,10,0.99,3399.0
0,1,0,10,0.99,800.0
2,1,0,10,0.99,1399.0
3,1,0,10,0.99,3200.0
4,1,0,10,0.99,1810.0
1,0,0,11,0.99,1200.0
1,2,0,11,0.99,4000.0
1,3,0,11,0.99,1100.0
1,4,0,11,0.99,3399.0
0,1,0,11,0.99,800.0
2,1,0,11,0.99,1399.0
3,1,0,11,0.99,3200.0
4,1,0,11,0.99,1810.0
